,flight_name,flight_id,start_time,end_time,travel_time,stops,fare,source,destination
0,Go First,G8 - 713,19:15,00:20,5h 5m,1 stop at Ahmedabad,"6,592",DEL-Delhi,BOM-Mumbai
1,Go First,G8 - 713,19:15,09:05,13h 50m,1 stop at Ahmedabad,"6,906",DEL-Delhi,BOM-Mumbai
2,Go First,G8 - 336,15:15,17:20,2h 5m,Non Stop,"7,319",DEL-Delhi,BOM-Mumbai
3,Go First,G8 - 323,18:20,20:35,2h 15m,Non Stop,"7,319",DEL-Delhi,BOM-Mumbai
4,Go First,G8 - 330,20:50,23:05,2h 15m,Non Stop,"7,319",DEL-Delhi,BOM-Mumbai
5,SpiceJet,SG - 8169,19:45,22:00,2h 15m,Non Stop,"7,319",DEL-Delhi,BOM-Mumbai
6,SpiceJet,SG - 711,21:40,23:55,2h 15m,Non Stop,"7,319",DEL-Delhi,BOM-Mumbai
7,IndiGo,6E - 5306,15:25,17:20,1h 55m,Non Stop,"7,319",DEL-Delhi,BOM-Mumbai
8,IndiGo,6E - 5318,17:00,19:05,2h 5m,Non Stop,"7,319",DEL-Delhi,BOM-Mumbai
9,IndiGo,6E - 864,16:15,18:25,2h 10m,Non Stop,"7,319",DEL-Delhi,BOM-Mumbai
10,IndiGo,6E - 2114,21:55,00:10,2h 15m,Non Stop,"7,319",DEL-Delhi,BOM-Mumbai
11,Vistara,UK - 951,14:20,16:30,2h 10m,Non Stop,"7,320",DEL-Delhi,BOM-Mumbai
12,Vistara,UK - 933,15:30,17:40,2h 10m,Non Stop,"7,320",DEL-Delhi,BOM-Mumbai
13,Air India,AI - 814,22:30,00:40,2h 10m,Non Stop,"7,320",DEL-Delhi,BOM-Mumbai
14,Air India,AI - 805,20:00,22:10,2h 10m,Non Stop,"7,320",DEL-Delhi,BOM-Mumbai
15,Air India,AI - 863,14:00,16:15,2h 15m,Non Stop,"7,320",DEL-Delhi,BOM-Mumbai
16,Air India,AI - 441,17:55,20:10,2h 15m,Non Stop,"7,320",DEL-Delhi,BOM-Mumbai
17,Air India,AI - 605,21:15,23:35,2h 20m,Non Stop,"7,320",DEL-Delhi,BOM-Mumbai
18,Go First,G8 - 717,16:45,00:20,7h 35m,1 stop at Ahmedabad,"7,477",DEL-Delhi,BOM-Mumbai
19,Vistara,UK - 929,21:20,06:15,8h 55m,1 stop at Ahmedabad,"7,583",DEL-Delhi,BOM-Mumbai
20,IndiGo,6E - 153,19:35,00:40,5h 5m,1 stop at Ahmedabad,"7,596",DEL-Delhi,BOM-Mumbai
21,IndiGo,6E - 2017,18:10,20:25,2h 15m,Non Stop,"7,844",DEL-Delhi,BOM-Mumbai
22,Vistara,UK - 969,18:10,06:15,12h 5m,1 stop at Ahmedabad,"8,192",DEL-Delhi,BOM-Mumbai
23,Vistara,UK - 955,17:45,20:05,2h 20m,Non Stop,"8,685",DEL-Delhi,BOM-Mumbai
24,Vistara,UK - 953,20:40,22:50,2h 10m,Non Stop,"9,525",DEL-Delhi,BOM-Mumbai
25,Vistara,UK - 977,19:00,21:15,2h 15m,Non Stop,"10,575",DEL-Delhi,BOM-Mumbai
26,Air India,AI - 504,21:15,08:35,11h 20m,1 stop at Bengaluru,"11,961",DEL-Delhi,BOM-Mumbai
27,Air India,AI - 815,15:30,08:35,17h 5m,1 stop at Bengaluru,"11,961",DEL-Delhi,BOM-Mumbai
28,Vistara,UK - 871,20:35,08:40,12h 5m,1 stop at Hyderabad,"12,044",DEL-Delhi,BOM-Mumbai
29,Vistara,UK - 879,17:35,08:40,15h 5m,1 stop at Hyderabad,"12,044",DEL-Delhi,BOM-Mumbai
30,Vistara,UK - 899,14:45,08:40,17h 55m,1 stop at Hyderabad,"12,044",DEL-Delhi,BOM-Mumbai
31,Vistara,UK - 871,20:35,14:30,17h 55m,1 stop at Hyderabad,"12,044",DEL-Delhi,BOM-Mumbai
32,Vistara,UK - 879,17:35,14:30,20h 55m,1 stop at Hyderabad,"12,044",DEL-Delhi,BOM-Mumbai
33,Vistara,UK - 899,14:45,14:30,23h 45m,1 stop at Hyderabad,"12,044",DEL-Delhi,BOM-Mumbai
34,Air India,AI - 839,21:30,09:50,12h 20m,1 stop at Hyderabad,"12,045",DEL-Delhi,BOM-Mumbai
35,Air India,AI - 544,16:50,09:50,17h,1 stop at Hyderabad,"12,045",DEL-Delhi,BOM-Mumbai
36,Air India,AI - 839,21:30,15:00,17h 30m,1 stop at Hyderabad,"12,045",DEL-Delhi,BOM-Mumbai
37,Air India,AI - 544,16:50,15:00,22h 10m,1 stop at Hyderabad,"12,045",DEL-Delhi,BOM-Mumbai
38,Vistara,UK - 871,20:35,10:00,13h 25m,1 stop at Hyderabad,"12,255",DEL-Delhi,BOM-Mumbai
39,Vistara,UK - 879,17:35,10:00,16h 25m,1 stop at Hyderabad,"12,255",DEL-Delhi,BOM-Mumbai
